objectid,filename,title,creator,date,description,subject,location,latitude,longitude,identifier,type,format,culture,materials,measurements,credit,published,web_page,altnum
484,jsma2019_11_36.jpg,Tray,Schmidt Wien,n.d.,Swan shaped tray,Schmidt Wien;Austrian;Sterling silver;Austria,Austria,47.525419,14.272046,JSMA2019:11.36,Image;StillImage,image/jpeg,Austrian,Sterling silver,H. 9-1/4 x W. 15-1/2 x D. 9-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136084;type=101,N0623
243,jsma2019_11_52.jpg,Flatware (set of 3),Unknown,ca. 1925,"Fish fork, fish knife, fruit knife with silver handles, blades, and tines chases strapwork on handles.",Unknown;Austrian;silver;Austria,Austria,47.525419,14.272046,JSMA2019:11.52a-c,Image;StillImage,image/jpeg,Austrian,silver,A (fork): 7-1/2 inches; B (knife): 8-1/8 inches; C (small knife): 7-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136105;type=101,N0953
346,jsma2019_11_65.jpg,Cup with tree motif,Unknown,ca. late 20th century,Small cup with chasing decoration to look like wood grain,Unknown;Belgian;Silver;Belgium,Belgium,,,JSMA2019:11.65,Image;StillImage,image/jpeg,Belgian,Silver,H. 3-3/8 x Diam. 2-1/6 inchces,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136119;type=101,N0108
363,jsma2014_39_35.jpg,Raised bowl,"DeMatteo, William G.",ca. 1950,"William G. deMatteo (1894-1980) was born in Italy and immigrated to the United States as a boy. After seeing Georg Jensen’s work in a New York showroom, deMatteo was inspired to become a silversmith. He eventually produced designs for Georg Jensen Inc. Reinterpreting Jensen’s magnolia motif, deMatteo became known for his use of the calla lily motif.","DeMatteo, William G.;American;Sterling silver;Bergenfield, New Jersey","Bergenfield, New Jersey",40.924715,-73.997812,JSMA2014:39.35,Image;StillImage,image/jpeg,American,Sterling silver,overall: H. 10 x Diam. 5 1/2.,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111142;type=101,P0025
474,jsma2019_11_1.jpg,Compote,"DeMatteo, William G.",ca. 1960,"Compote design #71 lily wreath spiral motif with tapered swirled pedestal, circular foot, and applied blossoms; designed by William G. deMatteo.","DeMatteo, William G.;American;Sterling silver;Bergenfield, New Jersey","Bergenfield, New Jersey",40.924715,-73.997812,JSMA2019:11.1,Image;StillImage,image/jpeg,American,Sterling silver,H. 6-1/2 x Diam. 6-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=135834;type=101,N0038
477,jsma2019_11_37.jpg,Cream pitcher,"DeMatteo, William G.",ca. 1910,,"DeMatteo, William G.;American;Sterling silver;Bergenfield, New Jersey","Bergenfield, New Jersey",40.924715,-73.997812,JSMA2019:11.37,Image;StillImage,image/jpeg,American,Sterling silver,H. 5-1/4 x W. 4-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136085;type=101,N0633
80,jsma2016_12_157.jpg,Necklace,"Lebert, Horst Max",late 20th-early 21st century,,"Lebert, Horst Max;German;Sterling silver, rock crystal;Berlin, Germany","Berlin, Germany",52.513152,13.41035,JSMA2016:12.157,Image;StillImage,image/jpeg,German,"Sterling silver, rock crystal",27 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122446;type=101,N1248
81,jsma2016_12_157.jpg,Necklace,"Lebert, Horst Max",late 20th-early 21st century,,"Lebert, Horst Max;German;Sterling silver, rock crystal;Berlin, Germany","Berlin, Germany",52.513152,13.41035,JSMA2016:12.157,Image;StillImage,image/jpeg,German,"Sterling silver, rock crystal",27 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122446;type=101,A-454
358,jsma2019_11_94.jpg,Jardiniere,"Krupp, Arthur; Arthur Krupp Berndorf",n.d.,,"Krupp, Arthur; Arthur Krupp Berndorf;Austrian;Silverplate over copper;Berndorf, Austria","Berndorf, Austria",,,JSMA2019:11.94,Image;StillImage,image/jpeg,Austrian,Silverplate over copper,H. 4-1/2 x Diam. 9-3/4 inchces,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136149;type=101,N1615
563,jsma2017_2_8.jpg,Crumb Catcher and Brush,Joseph Sankey & Sons Ltd,ca. early 20th century,,"Joseph Sankey & Sons Ltd;British;Copper;Bilston, England","Bilston, England",,,JSMA2017:2.8a-b,Image;StillImage,image/jpeg,British,Copper,Dustpan: W. 10-1/2 x D. 9 inches; broom: 12 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=126366;type=101,NO MGW NUMBER
140,jsma2016_12_42.jpg,Dolphin clasp,Unknown,1998,"""Nurses"" clasp with two circular halves, each decorated with applied dolphin and openwork undersea organic motif.",Unknown;British;Sterling silver;Birmingham,Birmingham,,,JSMA2016:12.42,Image;StillImage,image/jpeg,British,Sterling silver,W: 2-7/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119697;type=101,N0548
171,jsma2017_2_44.jpg,Caddy Spoon,Deakin & Francis Ltd,1898,,Deakin & Francis Ltd;British;Sterling silver;Birmingham,Birmingham,,,JSMA2017:2.44,Image;StillImage,image/jpeg,British,Sterling silver,3-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=126297;type=101,N1145
1,jsma2017_2_69.jpg,Set of spoons,Barker Bros Ltd,ca. 1930s,,Barker Bros Ltd;British;Silver;Birmingham,Birmingham,,,JSMA2017:2.69,Image;StillImage,image/jpeg,British,Silver,each: 3-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=126282;type=101,N0780
281,jsma2014_38_15.jpg,Pitcher,Birmingham Guild of Handicraft,ca. 1900,The Birmingham Guild of Handicraft’s motto “By Hammer and Hand” is reflected in the visible hammer-marks of this copper pitcher. Copper was a popular material in Arts and Crafts metal production as it was relatively inexpensive and easy to work with. This footed pitcher has a beak spout and multi-form strap work handle with leaf-shaped thumb pieces and joints.,"Birmingham Guild of Handicraft;British;Patinated copper;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.15,Image;StillImage,image/jpeg,British,Patinated copper,H. 8-3/8 x W. 6-1/8 x D. 4-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27170;type=101,S0072
282,jsma2014_38_19.jpg,Inkwell,"Jones, Albert Edward",ca. 1905,"Birmingham metalsmith Albert Edward Jones (1879-1954) established A.E. Jones Ltd. in 1902. In his workshop he collaborated with other like-minded Arts and Crafts designers such as Arthur Dixon of the Birmingham Guild of Handicraft and W. Howson Taylor, founder of Ruskin Pottery. The blue enamel decorating the lid of the inkwell is the fruit of Jones’s collaboration with Taylor, whose workshop produced Ruskin Enamels.","Jones, Albert Edward;British;Patinated copper with ceramic liner and enamel cabochon;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.19,Image;StillImage,image/jpeg,British,Patinated copper with ceramic liner and enamel cabochon,H. 3-1/8 x W. 4-5/8 x D. 7-7/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27174;type=101,N0915
547,jsma2014_38_22.jpg,Tray,"Jones, Albert Edward",ca. 1905,Copper tray with raised rim and handles. Silver border edge with four silver blossom medallions on rim and handles.,"Jones, Albert Edward;British;Copper and silver;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.22,Image;StillImage,image/jpeg,British,Copper and silver,overall: H. 14 3/4 x W. 20 1/4 in; H. 37.465 x W. 51.435 cm,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27177;type=101,N0056
428,jsma2014_38_3.jpg,Jewelry box,"Jones, Albert Edward",ca. 1900,"Albert Edward Jones was known for his use of mixed metals, his craftsmanship, and the simplicity of his designs. Individual flowers, as seen on two of the boxes here, were one of his favorite motifs. Jones was best known for his silverwares, but he was equally skilled in other metals, including copper, brass, and bronze. An innovator in metalsmithing, he invented a process that enriched the color of the copper alloy. A green velvet liner adds a touch of luxury.","Jones, Albert Edward;British;Copper and silver with velvet liner;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.3,Image;StillImage,image/jpeg,British,Copper and silver with velvet liner,"H. 3-1/8 x W. 5-1/8 x D. 5-1/ 16 in,","Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27158;type=101,P0131
431,jsma2014_38_31.jpg,Box,Unknown,ca. 1900,Box with riveted strap work edges that form four feet. Double-walled lid has chased medalion at center with bright green enamel cabochon.,"Unknown;British;Copper with enamel cabochon and wood liner;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.31,Image;StillImage,image/jpeg,British,Copper with enamel cabochon and wood liner,H. 4-1/2 x W. 7-1/4 x D. 3-1/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27186;type=101,P0139/S0077
432,jsma2014_38_43.jpg,Box,Unknown,1905,"Box with hammered finish and riveted strapwork forming four bracketed feet with scrolling. Applied center strap with rivets on hinged cover, bezel-set heart-shaped enamel cabochon at center.","Unknown;British;Copper with enamel cabochon;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.43,Image;StillImage,image/jpeg,British,Copper with enamel cabochon,H. 3-1/2 x W. 11-7/8 x D. 5-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27198;type=101,N0271
433,jsma2014_38_49.jpg,Cigarette box,Unknown,ca. 1905,Box with riveted strapwork edges forming feet. Applied plate with rivets on lid with heart-shaped green enamel cabochon at center.,"Unknown;British;Copper, enamel cabochon;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.49,Image;StillImage,image/jpeg,British,"Copper, enamel cabochon",H. 2-1/8 x W. 8- 9/16 x D. 4-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27204;type=101,N0014
434,jsma2014_38_61.jpg,Canister with lid,Birmingham Guild of Handicraft,1900,"The spirit of the Birmingham Guild of Handicraft’s motto “By Hammer and Hand” is manifest in the visible hammer-marks on this canister. Copper was a popular material in Arts and Crafts metal production as it was relatively inexpensive and easy to work with. Marks: the bottom of this canister is stamped with the Birmingham Guild of Handicraft mark “GBH.” The anchor indicates the piece was assayed by the Birmingham assay office, while the forward-looking lion known as the lion passant indicates the lid was made with .925 silver. Finally, the “a” corresponds to the date of assay, 1900.","Birmingham Guild of Handicraft;British;Copper and sterling silver;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.61,Image;StillImage,image/jpeg,British,Copper and sterling silver,H. 5-/4 x W. 5-1/4 x D. 5-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27216;type=101,N0788
286,jsma2014_38_71.jpg,Bowl,"Dixon, Arthur; Birmingham Guild of Handicraft",ca. 1895-1900,Copper vessel with applied riveted brass handles and swirled decoration.,"Dixon, Arthur; Birmingham Guild of Handicraft;British;Copper and brass;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:38.71,Image;StillImage,image/jpeg,British,Copper and brass,H. 4-1/4 x W. 10-3/4 x D. 6-5/16 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27226;type=101,N1607
455,jsma2014_39_48.jpg,Box,"Jones, Albert Edward",1902,"A.E. Jones produced hundreds of boxes, each in arts and crafts style in a variety of materials and sizes. This box combines patinated copper side panels with a silver cover and sterling silver applied strapwork with rivets at edges, forming four feet. A decorative sterling silver medallion clasp on the front panel and sterling bezel-set turquoise enamel cabochon complete the decorative touches.","Jones, Albert Edward;British;Sterling silver and patinated copper with enamel cabochon;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:39.48,Image;StillImage,image/jpeg,British,Sterling silver and patinated copper with enamel cabochon,H. 3-1/2 x W. 5-3/8 x D. 4-1/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111155;type=101,P0132
322,jsma2014_39_49.jpg,Salt cellars and spoons,Heath & Middleton,1888,"Despite the miniscule size of these salt spoons, five marks are present on the back of each spoon. The standard mark of a lion passant (a profile view of a walking lion) indicates silver quality. The city mark tells the location of assay office. Here, the leopard corresponds to London. The duty mark, used until 1890, indicates duty has been paid. This duty mark is the profile of the reigning monarch, in this case Queen Victoria. The letter “N” is a date mark and corresponds to the year 1888. Finally, the letters “JTH” over “JHM” indicate the maker’s mark of John Thomas Heath and John Harshorne Middleton.","Heath & Middleton;British;Sterling silver and glass;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2014:39.49a-h,Image;StillImage,image/jpeg,British,Sterling silver and glass,spoons: 2-1/2 inches; cellars: H. 1-5/8 x Diam. 2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=111156;type=101,P0173
437,jsma2016_12_105.jpg,Box,"Jones, Albert Edward",ca. 1905,Copper box with riveted strapwork edges forming four feet. Overhanging lid embellished with rivets and applied silver decoration with enamel cabochon at center.,"Jones, Albert Edward;British;Copper and silver with enamel cabochon.;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2016:12.105,Image;StillImage,image/jpeg,British,Copper and silver with enamel cabochon.,H. 2-1/8 x W. 6-11/16 x D. 4-1/16 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119770;type=101,NO NUMBER 8
8,jsma2016_12_172.jpg,"""Ruskin"" Enamel Pin",Norman and Ernest Spittle,1902,,"Norman and Ernest Spittle;British;Metal, enamel cabochon;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2016:12.172,Image;StillImage,image/jpeg,British,"Metal, enamel cabochon",Diam. 1-7/16 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122475;type=101,N1646
294,jsma2016_12_184.jpg,Trade card,"Willmott, Charles",20th century,Trade card of Charles Willmott.,"Willmott, Charles;British;Ink on wove paper in acrylic frame;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2016:12.184,Image;StillImage,image/jpeg,British,Ink on wove paper in acrylic frame,4-1/8 x 2-5/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122495;type=101,N0055
295,jsma2016_12_185.jpg,Vase,"Willmott, Charles",ca. 1900,"Of tapering form, decorated in relief with stylized trees against a stippled ground with a chased banner above.","Willmott, Charles;British;Pewter;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2016:12.185,Image;StillImage,image/jpeg,British,Pewter,H. 7-7/8 x Diam. 2-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122496;type=101,N0055
92,jsma2016_12_90.jpg,Spoon,Guild of Handicraft,1916,"The Birmingham Guild of Handicraft, founded by architect, designer, and author Charles Robert Ashbee in 1888, was one of the most famous producers of Arts and Crafts objects in England. Their products included furniture, metalwork, leatherwork, and jewelry. Stylistic motifs associated with the Guild are elongated handles and rounded bottoms. This spoon has a hammered finish and knotwork terminal to add a decorative touch.","Guild of Handicraft;British;Sterling silver;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2016:12.90,Image;StillImage,image/jpeg,British,Sterling silver,6-7/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119754;type=101,P0183/N0000
350,jsma2019_11_111.jpg,Mustard pot,William Hutton & Sons,1905,,"William Hutton & Sons;British;Sterling silver, glass, mother-of-pearl, enamel cabochons;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2019:11.111,Image;StillImage,image/jpeg,British,"Sterling silver, glass, mother-of-pearl, enamel cabochons",H. 3 x W. 3-1/2 x D. 2-1/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136169;type=101,P0103/S0040
356,jsma2019_11_23.jpg,Monteith,William Neale & Sons Ltd.,1938,"This Art Deco monteith produced by the British company W. Neal & Sons Ltd., features inverted stepped pyramid notches. The monteith first came into use in the 1680s as a vessel to cool drinking glasses. The bowl would be filled with ice, and glasses would rest in the notches on the edges until ready for use. The pyramidal notches of this monteith provide a modern update to a traditional design.","William Neale & Sons Ltd.;British;Sterling silver;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2019:11.23,Image;StillImage,image/jpeg,British,Sterling silver,H. 8 x Diam. 9 3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136070;type=101,N0348
342,jsma2019_11_47.jpg,Condiment jars with spoon,James Fenton & Co.,1906,,"James Fenton & Co.;British;Sterling silver with enamel cabochons;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2019:11.47a-c,Image;StillImage,image/jpeg,British,Sterling silver with enamel cabochons,each: Jars: H. 1-1/4 x W. 2-3/4 x D. 2 inches; spoons: 5-1/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136099;type=101,N0875
343,jsma2019_11_51.jpg,Condiment set (5 pieces),Lanson Ltd.,1941,Art Deco condiment set with bracket feet.,"Lanson Ltd.;British;Sterling silver and glass;Birmingham, England","Birmingham, England",52.484734,-1.89818,JSMA2019:11.51a-e,Image;StillImage,image/jpeg,British,Sterling silver and glass,Boxes: H. 1-1/2 x W. 1-3/4 x D. 1-3/4 inches; casters: H. 2-3/4 x Diam. 1-1/4 inches; lidded box: H. 1-3/4 x W. 1-3/4 x D. 1-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136104;type=101,N0946
128,jsma2016_12_137.jpg,Brooch,"Cini, Guglielmo",ca. 1930s,,"Cini, Guglielmo;American;Sterling silver, moonstone;Boston, Massachusetts","Boston, Massachusetts",42.354347,-71.06498,JSMA2016:12.137,Image;StillImage,image/jpeg,American,"Sterling silver, moonstone",H. 2-1/4 x W. 4-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122419;type=101,N0550
148,jsma2017_2_19.jpg,Buckle,"Bigelow, Kennard & Co.",ca. 1960s,,"Bigelow, Kennard & Co.;American;Silver;Boston, Massachusetts","Boston, Massachusetts",42.354347,-71.06498,JSMA2017:2.19,Image;StillImage,image/jpeg,American,Silver,W. 2-1/2 x D. 2-3/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=126332;type=101,T0168 (TWO PCS)
382,jsma2019_11_105.jpg,Two-handled porringer,"Gyllenberg, Frans J.R.",1910,,"Gyllenberg, Frans J.R.;American;Sterling silver;Boston, Massachusetts","Boston, Massachusetts",42.354347,-71.06498,JSMA2019:11.105,Image;StillImage,image/jpeg,American,Sterling silver,H. 1-1/2 in x W. 12-1/2 x Diam. 8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136163;type=101,P0027/U0000
